,Unnamed: 0,Date,HPA,HPD,Cie,Ligne,Esc 1,Immat,Type app,PKG,Remarque,Comment,Terminal,DATETIME,Graph_intervale,Brigade
157,157,2022-04-10,14:50:00,,DTH,1321,7TVCD,B738,IAM,PA1,ARRIVE 13:55,,T2,2022-04-10 14:50:00,"[6649, 6651]",Journee
158,158,2022-04-10,14:50:00,,DTH,1525,7TVCM,DH8D,HRM,PA1,ARRIVE 14:45,,T2,2022-04-10 14:50:00,"[6649, 6651]",Journee
159,159,2022-04-10,14:55:00,,DAH,6143,7TVJL,B738,AZR,PA1,ARRIVE 14:50,122 PX,T2,2022-04-10 14:55:00,"[6654, 6656]",Journee
160,160,2022-04-10,,15:00:00,DTH,2110,7TVCE,B738,CZL,PA1,DECOLLE 14:50,13 PX,T2,2022-04-10 15:00:00,"[6659, 6661]",Journee
161,161,2022-04-10,,15:05:00,DAH,5010,7TVJU,B736,DSS,P18,DECOLLE 14:45,AH6059 GJL 13H40/11 PX,T4,2022-04-10 15:05:00,"[6663, 6667]",Journee
162,162,2022-04-10,15:10:00,,DAH,1011,7TVJV,A330,ORY,P25B,ARRIVE 15:47,259 PX,T4,2022-04-10 15:10:00,"[6668, 6672]",Journee
163,163,2022-04-10,,15:10:00,DTH,2220,7TVCF,B738,ORN,PA1,DECOLLE 15:00,05 PX,T2,2022-04-10 15:10:00,"[6669, 6671]",Journee
164,164,2022-04-10,15:15:00,,DAH,2027,7TVJT,B736,MXP,P17,ARRIVE 15:13,61 PX,T4,2022-04-10 15:15:00,"[6673, 6677]",Journee
165,165,2022-04-10,,15:20:00,QTR,1380,,A330,DOH,P4B,DECOLLE 16:04,175 PX,T1,2022-04-10 15:20:00,"[6679, 6681]",Journee
166,166,2022-04-10,,15:30:00,DAH,6184,7TVKG,B738,ORN,P12,DECOLLE 15:35,AH 6191 1315 CZL/125 PX,T2,2022-04-10 15:30:00,"[6689, 6691]",Journee
167,167,2022-04-10,,15:30:00,DAH,1040,7TVKK,B738,NCE,P22C,DECOLLE 15:26,51 PCX,T4,2022-04-10 15:30:00,"[6688, 6692]",Journee
168,168,2022-04-10,15:50:00,,DAH,6267,7TVUN,ATR72,TGR,PA1,ARRIVE 15:35,55 PX,T2,2022-04-10 15:50:00,"[6709, 6711]",Journee
169,169,2022-04-10,16:05:00,,DAH,6071,7TVJR,B736,LOO,PA1,ARRIVE 15:35,72 PX,T2,2022-04-10 16:05:00,"[6724, 6726]",Journee
170,170,2022-04-10,,16:25:00,SVA,340,,B777,JED,P3B,DECOLLE 17:44,408 PX,T1,2022-04-10 16:25:00,"[6744, 6746]",Journee
171,171,2022-04-10,16:30:00,,DAH,6232,7TVKA,B738,DJG,PA2,ARRIVE 16:45,95 PX,T2,2022-04-10 16:30:00,"[6749, 6751]",Journee
172,172,2022-04-10,16:35:00,,DAH,6253,7TVVQ,ATR72,ELU,PA1,ARRIVE 16:25,67 PX,T2,2022-04-10 16:35:00,"[6754, 6756]",Journee
173,173,2022-04-10,,16:50:00,DAH,4002,7TVKM,B738,TUN,P19,DECOLLE 17:03,TRACTAGE/135 PX,T4,2022-04-10 16:50:00,"[6768, 6772]",Journee
174,174,2022-04-10,16:55:00,,DTH,1501,7TVCP,Q200,HRM,PA1,ARRIVE 15:45,,T2,2022-04-10 16:55:00,"[6774, 6776]",Journee
175,175,2022-04-10,17:10:00,,DAH,6195,7TVKE,B738,CZL,P12,ARRIVE 17:12,70 PX,T2,2022-04-10 17:10:00,"[6789, 6791]",Journee
176,176,2022-04-10,,17:15:00,DAH,4604,7TVJZ,A330,MED,PA2,DECOLLE 17:15,262 PX,T3,2022-04-10 17:15:00,"[6793, 6797]",Journee
177,177,2022-04-10,17:20:00,,FPO,363,,B738,LIL,P15,ARRIVE 17:35,117 PX,T4,2022-04-10 17:20:00,"[6798, 6802]",Journee
178,178,2022-04-10,17:20:00,,DAH,2071,,B738,FRA,P18,ARRIVE 17:24,146 PX,T4,2022-04-10 17:20:00,"[6798, 6802]",Journee
179,179,2022-04-10,,17:20:00,DAH,6222,7TVUV,ATR72,HME,PA1,DECOLLE 17:25,65 PX,T2,2022-04-10 17:20:00,"[6799, 6801]",Journee
180,180,2022-04-10,17:40:00,,DAH,6177,7TVKD,B738,AAE,P11A,ARRIVE 17:50,94 PX,T2,2022-04-10 17:40:00,"[6819, 6821]",Journee
181,181,2022-04-10,17:55:00,,DAH,2055,7TVKO,B738,LHR,P14,ARRIVE 18:00,127 PX,T4,2022-04-10 17:55:00,"[6833, 6837]",Journee
182,182,2022-04-10,18:15:00,,DAH,3017,7TVJC,A330,IST,P20,ARRIVE 18:50,218 PX,T4,2022-04-10 18:15:00,"[6853, 6857]",Journee
183,183,2022-04-10,,18:15:00,DTH,1802,7TVCC,B738,HME,PA1,DECOLLE 18:05,,T2,2022-04-10 18:15:00,"[6854, 6856]",Journee
184,184,2022-04-10,,18:20:00,FPO,272,,B738,CDG,P15,DECOLLE 18:19,77 PX,T4,2022-04-10 18:20:00,"[6858, 6862]",Journee
185,185,2022-04-10,,18:20:00,DAH,6106,7TVKP,B738,ORN,P9,DECOLLE 18:22,44 PX,T2,2022-04-10 18:20:00,"[6859, 6861]",Journee
186,186,2022-04-10,18:30:00,,DAH,6185,7TVKG,B738,ORN,P10C,ARRIVE 18:15,93 PX,T2,2022-04-10 18:30:00,"[6869, 6871]",Journee
187,187,2022-04-10,,18:30:00,DAH,6200,7TVUO,ATR72,GHA,PA1,DECOLLE 18:25,56 PX,T2,2022-04-10 18:30:00,"[6869, 6871]",Journee
188,188,2022-04-10,,18:30:00,DAH,6026,7TVKE,B738,CZL,P12,DECOLLE 18:09,AH 6195 CZK 1710/54 PX,T2,2022-04-10 18:30:00,"[6869, 6871]",Journee
189,189,2022-04-10,,18:40:00,DAH,6006,7TVKD,B738,AAE,P11A,DECOLLE 19:00,AH 6177 AAE 1740/57 PX,T2,2022-04-10 18:40:00,"[6879, 6881]",Journee
190,190,2022-04-10,19:55:00,,DAH,1041,7TVKK,B738,NCE,P19,ARRIVE 19:58,138 PX,T4,2022-04-10 19:55:00,"[6953, 6957]",Nuit
191,191,2022-04-10,20:30:00,,DAH,4003,7TVKM,B738,TUN,P15,ARRIVE 20:15,119 PX,T4,2022-04-10 20:30:00,"[6988, 6992]",Nuit
192,192,2022-04-10,,22:45:00,DAH,4062,7TVJA,A330,DXB,P21,DECOLLE 23:24,TRACTAGE/227 PX,T4,2022-04-10 22:45:00,"[7123, 7127]",Nuit
193,193,2022-04-10,22:50:00,,AZA,802,,A320,FCO,P16,ARRIVE 23:26,141 PX,T4,2022-04-10 22:50:00,"[7128, 7132]",Nuit
